id,class
0,8
1,9
2,4
3,0
4,18
5,3
6,0
7,2
8,4
9,10
10,12
11,2
12,14
13,14
14,11
15,0
16,12
17,15
18,14
19,8
20,18
21,13
22,3
23,18
24,0
25,2
26,2
27,12
28,8
29,1
30,0
31,7
32,5
33,13
34,13
35,15
36,18
37,14
38,9
39,11
40,17
41,12
42,6
43,7
44,12
45,0
46,12
47,12
48,18
49,14
50,2
51,2
52,2
53,8
54,11
55,0
56,5
57,6
58,9
59,13
60,11
61,12
62,2
63,2
64,3
65,14
66,7
67,18
68,13
69,15
70,2
71,18
72,3
73,18
74,1
75,13
76,14
77,13
78,10
79,0
80,6
81,5
82,0
83,11
84,0
85,2
86,5
87,2
88,16
89,6
90,13
91,7
92,14
93,14
94,18
95,7
96,11
97,11
98,17
99,11
100,0
101,18
102,3
103,15
104,13
105,14
106,3
107,11
108,13
109,12
110,18
111,2
112,18
113,0
114,9
115,2
116,11
117,2
118,11
119,0
120,3
121,7
122,11
123,11
124,6
125,12
126,17
127,14
128,18
129,3
130,13
131,8
132,18
133,2
134,8
135,1
136,17
137,0
138,1
139,6
140,11
141,12
142,12
143,7
144,18
145,10
146,3
147,8
148,6
149,13
150,13
151,18
152,12
153,18
154,11
155,11
156,18
157,18
158,6
159,13
160,6
161,18
162,14
163,15
164,17
165,14
166,13
167,18
168,1
169,9
170,9
171,8
172,0
173,10
174,13
175,8
176,0
177,0
178,0
179,3
180,13
181,13
182,0
183,15
184,2
185,0
186,14
187,0
188,3
189,4
190,6
191,6
192,18
193,18
194,13
195,8
196,2
197,2
198,13
199,10
200,18
201,0
202,2
203,12
204,13
205,15
206,17
207,14
208,9
209,5
210,13
211,13
212,9
213,12
214,6
215,0
216,17
217,0
218,5
219,0
220,2
221,8
222,3
223,18
224,14
225,18
226,18
227,14
228,18
229,13
230,11
231,16
232,0
233,18
234,13
235,14
236,5
237,18
238,4
239,13
240,11
241,3
242,6
243,15
244,2
245,13
246,2
247,1
248,13
249,14
250,0
251,9
252,11
253,8
254,13
255,18
256,18
257,3
258,7
259,14
260,0
261,18
262,13
263,18
264,3
265,2
266,9
267,18
268,13
269,8
270,18
271,0
272,18
273,18
274,18
275,2
276,12
277,6
278,2
279,1
280,14
281,18
282,0
283,3
284,17
285,0
286,14
287,5
288,12
289,6
290,14
291,18
292,0
293,11
294,12
295,2
296,3
297,9
298,13
299,13
300,11
301,2
302,18
303,13
304,18
305,17
306,8
307,11
308,13
309,16
310,11
311,13
312,2
313,7
314,13
315,2
316,7
317,18
318,13
319,2
320,10
321,9
322,2
323,14
324,18
325,9
326,12
327,6
328,13
329,18
330,8
331,15
332,14
333,13
334,18
335,18
336,9
337,18
338,8
339,7
340,18
341,8
342,18
343,2
344,11
345,15
346,18
347,0
348,11
349,6
350,3
351,11
352,0
353,5
354,7
355,4
356,17
357,12
358,13
359,18
360,7
361,14
362,17
363,8
364,14
365,5
366,14
367,18
368,18
369,3
370,14
371,0
372,2
373,0
374,3
375,9
376,13
377,14
378,18
379,18
380,0
381,2
382,18
383,6
384,12
385,14
386,3
387,13
388,8
389,6
390,5
391,2
392,2
393,1
394,3
395,3
396,13
397,2
398,18
399,7
400,7
401,2
402,12
403,12
404,9
405,2
406,2
407,3
408,13
409,14
410,6
411,4
412,6
413,18
414,18
415,18
416,3
417,14
418,0
419,5
420,11
421,0
422,3
423,10
424,8
425,4
426,14
427,18
428,8
429,3
430,9
431,9
432,13
433,9
434,12
435,10
436,14
437,12
438,18
439,13
440,12
441,0
442,7
443,2
444,0
445,17
446,11
447,3
448,0
449,14
450,1
451,13
452,17
453,3
454,3
455,2
456,8
457,0
458,0
459,18
460,11
461,13
462,0
463,12
464,3
465,0
466,12
467,18
468,2
469,12
470,0
471,4
472,6
473,11
474,4
475,7
476,18
477,8
478,13
479,18
480,17
481,0
482,13
483,18
484,0
485,18
486,9
487,18
488,2
489,18
490,7
491,5
492,8
493,3
494,11
495,18
496,8
497,11
498,0
499,13
500,7
501,0
502,17
503,1
504,5
505,13
506,13
507,6
508,8
509,18
510,1
511,18
512,18
513,0
514,0
515,7
516,18
517,8
518,9
519,17
520,15
521,7
522,8
523,10
524,11
525,11
526,17
527,16
528,2
529,14
530,9
531,13
532,6
533,8
534,7
535,13
536,8
537,17
538,7
539,0
540,11
541,6
542,7
543,0
544,12
545,2
546,11
547,6
548,18
549,11
550,10
551,11
552,10
553,5
554,14
555,13
556,2
557,13
558,18
559,13
560,13
561,18
562,12
563,6
564,9
565,12
566,17
567,4
568,13
569,18
570,3
571,2
572,3
573,2
574,2
575,12
576,18
577,0
578,8
579,7
580,9
581,7
582,4
583,16
